,Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2007-08,21.0,BOS,NBA,PG,26.0,26.0,32.0,4.1,10.1,0.407,0.2,0.8,0.25,3.9,9.3,0.42,0.416,1.8,2.6,1.5,2.6,4.1,6.6,1.7,0.3,1.8,2.8,10.2
1,2008-09,22.0,BOS,NBA,PG,14.0,14.0,41.2,6.6,15.9,0.417,0.4,1.7,0.25,6.2,14.2,0.437,0.43,3.1,4.8,2.3,7.4,9.7,9.8,2.5,0.2,2.7,3.4,16.9
2,2009-10,23.0,BOS,NBA,PG,24.0,24.0,40.6,6.3,13.6,0.463,0.4,1.0,0.375,5.9,12.6,0.47,0.477,2.8,4.8,1.6,4.0,5.6,9.3,1.9,0.1,3.0,2.4,15.8
3,2010-11,24.0,BOS,NBA,PG,9.0,9.0,38.3,5.7,11.9,0.477,0.0,0.3,0.0,5.7,11.6,0.49,0.477,2.7,4.2,1.2,4.2,5.4,9.6,1.1,0.0,3.7,1.8,14.0
4,2011-12,25.0,BOS,NBA,PG,19.0,19.0,42.6,7.4,15.8,0.468,0.4,1.6,0.267,7.0,14.3,0.491,0.482,2.1,2.9,1.8,4.9,6.7,11.9,2.4,0.1,3.8,2.1,17.3
5,2014-15,28.0,DAL,NBA,PG,2.0,2.0,18.5,4.5,10.0,0.45,0.5,1.0,0.5,4.0,9.0,0.444,0.475,0.0,0.0,0.5,0.5,1.0,3.0,0.0,0.0,1.0,3.0,9.5
6,2016-17,30.0,CHI,NBA,PG,2.0,2.0,33.5,5.5,13.0,0.423,0.0,3.0,0.0,5.5,10.0,0.55,0.423,0.5,1.0,3.5,5.0,8.5,10.0,3.5,0.5,2.0,3.0,11.5
7,2017-18,31.0,NOP,NBA,PG,9.0,9.0,33.6,4.2,10.2,0.413,0.9,2.1,0.421,3.3,8.1,0.411,0.457,1.0,1.6,1.0,6.6,7.6,12.2,1.4,0.2,3.7,2.2,10.3
8,2019-20,33.0,LAL,NBA,PG,16.0,0.0,24.7,3.4,7.6,0.455,1.3,3.1,0.4,2.2,4.4,0.493,0.537,0.8,1.2,0.8,3.5,4.3,6.6,1.4,0.1,2.1,2.3,8.9
9,2020-21,34.0,LAC,NBA,PG,8.0,0.0,19.6,1.5,4.6,0.324,0.9,2.4,0.368,0.6,2.3,0.278,0.419,0.8,1.3,0.3,2.5,2.8,4.5,0.4,0.4,1.3,2.1,4.6
